Category,Subcategory,ChatGPT_Keyword,ChatGPT_Count,Gemini_Keyword,Gemini_Count,Agreeness,Person to review,Final_Keyword,Final count
Genomics,Data production bias,Selection/ascertainment,13,Sample Quality/Availability,5,FALSE,SEBASTIAN,Selection/ascertainment,13
Genomics,Data production bias,Tissue/cell-type/biopsy heterogeneity,13,Selection/Sampling Bias,4,FALSE,SEBASTIAN,Tissue/cell-type/biopsy heterogeneity,13
Genomics,Data production bias,Reference genome,8,Lack of Population-Specific Databases,3,FALSE,SEBASTIAN,Lack of Population-Specific Databases,3
Genomics,Data production bias,Sample size/underpowered,4,Genetic Heterogeneity (within samples),3,FALSE,SEBASTIAN,Sample size/underpowered,4
Genomics,Computational/Analytical Bias,Variant interpretation,14,Biased or Incomplete Reference Data,6,FALSE,SEBASTIAN,Variant interpretation,14
Genomics,Computational/Analytical Bias,Filtering strategy ,12,Variant Interpretation Challenges (incl. VUS),5,FALSE,SEBASTIAN,Filtering strategy & Variant Interpretation Challenges (incl. VUS),17
Genomics,Technical/Instrumental biases,Standardization / reproducibility,2,Cost of Technology,3,FALSE,SEBASTIAN,Cost of Technology,5
Genomics,Technical/Instrumental biases,Processing / computation,2,Hardware Performance Limitations,3,FALSE,SEBASTIAN,Processing / computation,2
Genomics,Technical/Instrumental biases,Sampling bias,1,Variable Assembly Quality,1,FALSE,SEBASTIAN,Sampling bias &  Variable Assembly Quality,3
Metabolomics,Data Production/Pre Analysis Bias,Sample Selection Bias,17,"Sample Heterogeneity (biological, population, type)",3,FALSE,SEBASTIAN,Sample Selection Bias & Heterogeneity,20
Metabolomics,Data Production/Pre Analysis Bias,Cohort Heterogeneity,14,"Confounders (diet, lifestyle, disease state)",11,FALSE,SEBASTIAN,Cohort Heterogeneity & Confounders,24
Metabolomics,Data Production/Pre Analysis Bias,Environmental Confounders,11,Lack of Standardized Protocols/SOPs,8,FALSE,SEBASTIAN,Lack of Standardized Protocols/SOPs,8
Metabolomics,Data Production/Pre Analysis Bias,Diet & Lifestyle Effects,9,Lack of Reference Materials/Standards,7,FALSE,SEBASTIAN,Lack of Reference Materials/Standards,7
Metabolomics,Instrumental / Technical / Hardware Bias,Batch effects,17,Instrument Differences,24,FALSE,SEBASTIAN,Batch effects &  Instrument Differences,31
Metabolomics,Instrumental / Technical / Hardware Bias,"Platform differences (MS, NMR, GC, LC, Orbitrap, QToF, etc.)",2,"Sensitivity, Specificity & Coverage Limitations",12,FALSE,SEBASTIAN,"Platform differences & Sensitivity, Specificity & Coverage Limitations",14
Metabolomics,Instrumental / Technical / Hardware Bias,"Sensitivity limitations (low-abundance metabolites, detection limits)",12,Matrix Effects ,6,FALSE,SEBASTIAN,Sensitivity limitations & Matrix Effects ,18
Metabolomics,Analytical / Software / Computational Bias,batch correction / effects,16,Metabolite Annotation,22,FALSE,SEBASTIAN,batch correction / effects & Metabolite Annotation,28
Metabolomics,Analytical / Software / Computational Bias,Feature detection,14,"Lack of Standardization (workflows, tools, pipelines)",3,FALSE,SEBASTIAN,Feature detection ,17
Metabolomics,Analytical / Software / Computational Bias,Lack of standardization in workflows,11,Batch Correction Challenges,10,FALSE,SEBASTIAN,Lack of standarization,3
Metabolomics,Reporting / Interpretation / Post-Analysis Bias,lack of transparency in methods,10,Reproducibility,8,FALSE,SEBASTIAN,lack of transparency in methods & Reproducibility,18
Metabolomics,Reporting / Interpretation / Post-Analysis Bias,Overinterpretation of findings (esp. biomarkers),9,Insufficient FAIR Data Compliance & Data Sharing,7,FALSE,MARLENE,Overinterpretation of findings (esp. biomarkers),9
Metabolomics,Other Biases / Challenges / Limitations,Cross-study / inter-laboratory comparability issues,13,"Clinical Translation Barriers (validation, regulation, cost)",11,FALSE,MARLENE,Cross-study / inter-laboratory comparability issues,13
Metabolomics,Other Biases / Challenges / Limitations,High cost / resource barriers,12,Multi-omics Integration Challenges,8,FALSE,MARLENE,High cost / resource barriers,12
Metabolomics,Other Biases / Challenges / Limitations,Large fraction of unannotated / unknown metabolites,11,"Complexity (Biological, Technical, Data)",7,FALSE,MARLENE,Large fraction of unannotated / unknown metabolites,11
Transcriptomics,Data / Prediction Biases,Detection bias for low-expression or low-abundance RNAs,18,Sample Preservation & Dissociation Artifacts,16,FALSE,MARLENE,Detection bias for low-expression or low-abundance RNAs,18
